Timestamp,Distance(m)
2026-01-18 17:05:58.568,2.0
2026-01-18 17:05:58.570,2.022
2026-01-18 17:05:58.585,2.046
2026-01-18 17:05:58.602,2.048
2026-01-18 17:05:58.619,2.059
2026-01-18 17:05:58.619,2.078
2026-01-18 17:05:58.635,2.104
2026-01-18 17:05:58.652,2.147
2026-01-18 17:05:58.669,2.162
2026-01-18 17:05:58.670,2.366
2026-01-18 17:05:58.685,2.314
2026-01-18 17:05:58.703,2.296
2026-01-18 17:05:58.703,2.286
2026-01-18 17:05:58.719,2.264
2026-01-18 17:05:58.735,2.247
2026-01-18 17:05:58.752,2.207
2026-01-18 17:05:58.752,2.226
2026-01-18 17:05:58.776,2.299
2026-01-18 17:05:58.776,2.274
2026-01-18 17:05:58.785,2.279
2026-01-18 17:05:58.803,2.278
2026-01-18 17:05:58.820,2.256
2026-01-18 17:05:58.836,2.242
2026-01-18 17:05:58.836,2.248
2026-01-18 17:05:58.852,2.246
2026-01-18 17:05:58.870,2.234
2026-01-18 17:05:58.870,2.235
2026-01-18 17:05:58.886,2.243
2026-01-18 17:05:58.902,2.255
2026-01-18 17:05:58.919,2.253
2026-01-18 17:05:58.919,2.255
2026-01-18 17:05:58.937,2.259
2026-01-18 17:05:58.953,2.262
2026-01-18 17:05:58.953,2.278
2026-01-18 17:05:58.969,2.278
2026-01-18 17:05:58.986,2.285
2026-01-18 17:05:59.002,2.302
2026-01-18 17:05:59.003,2.309
2026-01-18 17:05:59.020,2.329
2026-01-18 17:05:59.036,2.344
2026-01-18 17:05:59.053,2.349
2026-01-18 17:05:59.053,2.361
2026-01-18 17:05:59.070,2.378
2026-01-18 17:05:59.085,2.398
2026-01-18 17:05:59.086,2.406
2026-01-18 17:05:59.104,2.416
2026-01-18 17:05:59.120,2.447
2026-01-18 17:05:59.137,2.453
2026-01-18 17:05:59.137,2.468
2026-01-18 17:05:59.153,2.477
2026-01-18 17:05:59.169,2.479
2026-01-18 17:05:59.169,2.486
2026-01-18 17:05:59.186,2.495
2026-01-18 17:05:59.202,2.506
2026-01-18 17:05:59.220,2.525
