Timestamp,Distance(m)
2026-01-14 16:32:27.667,0.82
2026-01-14 16:32:27.668,0.83
2026-01-14 16:32:27.683,0.849
2026-01-14 16:32:27.700,0.869
2026-01-14 16:32:27.701,0.89
2026-01-14 16:32:27.716,0.914
2026-01-14 16:32:27.733,0.932
2026-01-14 16:32:27.750,0.954
2026-01-14 16:32:27.751,0.978
2026-01-14 16:32:27.766,0.998
2026-01-14 16:32:27.783,1.018
2026-01-14 16:32:27.800,1.034
2026-01-14 16:32:27.801,1.054
2026-01-14 16:32:27.818,1.071
2026-01-14 16:32:27.834,1.083
2026-01-14 16:32:27.834,1.094
2026-01-14 16:32:27.859,1.119
2026-01-14 16:32:27.859,1.151
2026-01-14 16:32:27.869,1.172
2026-01-14 16:32:27.883,1.195
2026-01-14 16:32:27.901,1.223
2026-01-14 16:32:27.917,1.244
2026-01-14 16:32:27.918,1.265
2026-01-14 16:32:27.934,1.283
2026-01-14 16:32:27.950,1.305
2026-01-14 16:32:27.968,1.318
2026-01-14 16:32:27.968,1.328
2026-01-14 16:32:27.982,1.34
2026-01-14 16:32:27.999,1.349
2026-01-14 16:32:28.016,1.353
2026-01-14 16:32:28.016,1.356
2026-01-14 16:32:28.033,1.362
2026-01-14 16:32:28.051,1.368
2026-01-14 16:32:28.052,1.373
2026-01-14 16:32:28.067,1.384
2026-01-14 16:32:28.084,1.393
2026-01-14 16:32:28.084,1.413
2026-01-14 16:32:28.102,1.427
2026-01-14 16:32:28.117,1.426
2026-01-14 16:32:28.133,1.433
2026-01-14 16:32:28.133,1.435
2026-01-14 16:32:28.151,1.442
2026-01-14 16:32:28.166,1.446
2026-01-14 16:32:28.183,1.457
2026-01-14 16:32:28.183,1.462
2026-01-14 16:32:28.201,1.473
2026-01-14 16:32:28.216,1.489
2026-01-14 16:32:28.217,1.503
2026-01-14 16:32:28.250,1.512
2026-01-14 16:32:28.266,1.522
2026-01-14 16:32:28.267,1.528
2026-01-14 16:32:28.282,1.538
2026-01-14 16:32:28.300,1.552
2026-01-14 16:32:28.300,1.561
2026-01-14 16:32:28.316,1.561
2026-01-14 16:32:28.333,1.561
2026-01-14 16:32:28.351,1.567
2026-01-14 16:32:28.351,1.569
2026-01-14 16:32:28.368,1.574
2026-01-14 16:32:28.385,1.574
2026-01-14 16:32:28.385,1.571
2026-01-14 16:32:28.401,1.575
2026-01-14 16:32:28.418,1.578
2026-01-14 16:32:28.433,1.593
2026-01-14 16:32:28.434,1.601
2026-01-14 16:32:28.450,1.618
2026-01-14 16:32:28.468,1.637
2026-01-14 16:32:28.469,1.67
2026-01-14 16:32:28.484,1.691
2026-01-14 16:32:28.501,1.708
2026-01-14 16:32:28.517,1.72
2026-01-14 16:32:28.518,1.732
2026-01-14 16:32:28.534,1.752
2026-01-14 16:32:28.550,1.763
2026-01-14 16:32:28.567,1.782
2026-01-14 16:32:28.568,1.797
2026-01-14 16:32:28.583,1.825
2026-01-14 16:32:28.600,1.85
2026-01-14 16:32:28.601,1.887
2026-01-14 16:32:28.617,1.918
2026-01-14 16:32:28.634,1.957
2026-01-14 16:32:28.650,1.989
2026-01-14 16:32:28.650,2.014
2026-01-14 16:32:28.667,2.021
2026-01-14 16:32:28.683,2.022
2026-01-14 16:32:28.699,2.018
2026-01-14 16:32:28.699,2.017
2026-01-14 16:32:28.736,2.012
2026-01-14 16:32:28.736,2.013
2026-01-14 16:32:28.736,2.026
2026-01-14 16:32:28.766,2.037
2026-01-14 16:32:28.767,2.061
2026-01-14 16:32:28.783,2.096
2026-01-14 16:32:28.784,2.125
2026-01-14 16:32:28.800,2.138
2026-01-14 16:32:28.818,2.148
2026-01-14 16:32:28.818,2.157
2026-01-14 16:32:28.833,2.145
2026-01-14 16:32:28.857,2.149
