Timestamp,Distance(m)
2026-01-14 16:19:29.965,1.017
2026-01-14 16:19:29.982,1.028
2026-01-14 16:19:29.982,1.04
2026-01-14 16:19:30.000,1.048
2026-01-14 16:19:30.017,1.06
2026-01-14 16:19:30.017,1.07
2026-01-14 16:19:30.032,1.079
2026-01-14 16:19:30.050,1.089
2026-01-14 16:19:30.051,1.104
2026-01-14 16:19:30.066,1.114
2026-01-14 16:19:30.083,1.126
2026-01-14 16:19:30.099,1.142
2026-01-14 16:19:30.100,1.148
2026-01-14 16:19:30.117,1.157
2026-01-14 16:19:30.132,1.164
2026-01-14 16:19:30.148,1.179
2026-01-14 16:19:30.148,1.191
2026-01-14 16:19:30.165,1.202
2026-01-14 16:19:30.182,1.208
2026-01-14 16:19:30.182,1.226
2026-01-14 16:19:30.199,1.24
2026-01-14 16:19:30.216,1.257
2026-01-14 16:19:30.233,1.271
2026-01-14 16:19:30.233,1.288
2026-01-14 16:19:30.249,1.31
2026-01-14 16:19:30.266,1.324
2026-01-14 16:19:30.266,1.337
2026-01-14 16:19:30.282,1.35
2026-01-14 16:19:30.298,1.371
2026-01-14 16:19:30.316,1.394
2026-01-14 16:19:30.316,1.416
2026-01-14 16:19:30.332,1.429
2026-01-14 16:19:30.349,1.451
2026-01-14 16:19:30.350,1.48
2026-01-14 16:19:30.366,1.503
2026-01-14 16:19:30.384,1.522
2026-01-14 16:19:30.399,1.545
2026-01-14 16:19:30.400,1.563
2026-01-14 16:19:30.415,1.58
2026-01-14 16:19:30.433,1.601
2026-01-14 16:19:30.450,1.616
2026-01-14 16:19:30.450,1.633
2026-01-14 16:19:30.467,1.65
2026-01-14 16:19:30.483,1.66
2026-01-14 16:19:30.483,1.671
2026-01-14 16:19:30.499,1.68
2026-01-14 16:19:30.516,1.695
2026-01-14 16:19:30.532,1.713
2026-01-14 16:19:30.533,1.725
2026-01-14 16:19:30.549,1.741
2026-01-14 16:19:30.565,1.758
2026-01-14 16:19:30.566,1.766
2026-01-14 16:19:30.581,1.765
2026-01-14 16:19:30.598,1.777
2026-01-14 16:19:30.615,1.786
2026-01-14 16:19:30.615,1.785
2026-01-14 16:19:30.631,1.787
2026-01-14 16:19:30.649,1.796
2026-01-14 16:19:30.650,1.808
2026-01-14 16:19:30.666,1.815
2026-01-14 16:19:30.682,1.822
2026-01-14 16:19:30.699,1.834
2026-01-14 16:19:30.699,1.844
2026-01-14 16:19:30.715,1.849
2026-01-14 16:19:30.733,1.858
2026-01-14 16:19:30.749,1.874
2026-01-14 16:19:30.749,1.886
2026-01-14 16:19:30.766,1.893
2026-01-14 16:19:30.783,1.907
2026-01-14 16:19:30.783,1.916
