Timestamp,Distance(m)
2026-01-18 16:11:36.393,1.008
2026-01-18 16:11:36.394,1.008
2026-01-18 16:11:36.408,1.003
2026-01-18 16:11:36.426,1.004
2026-01-18 16:11:36.426,0.999
2026-01-18 16:11:36.442,0.998
2026-01-18 16:11:36.459,1.001
2026-01-18 16:11:36.476,1.01
2026-01-18 16:11:36.476,1.006
2026-01-18 16:11:36.492,1.009
2026-01-18 16:11:36.510,1.005
2026-01-18 16:11:36.511,0.998
2026-01-18 16:11:36.543,0.998
2026-01-18 16:11:36.560,0.994
2026-01-18 16:11:36.560,0.996
2026-01-18 16:11:36.576,0.992
2026-01-18 16:11:36.592,0.992
2026-01-18 16:11:36.592,0.996
2026-01-18 16:11:36.610,0.994
2026-01-18 16:11:36.625,0.996
2026-01-18 16:11:36.643,0.999
2026-01-18 16:11:36.643,1.001
2026-01-18 16:11:36.660,0.999
2026-01-18 16:11:36.676,1.005
2026-01-18 16:11:36.693,0.998
2026-01-18 16:11:36.693,1.001
2026-01-18 16:11:36.710,0.993
2026-01-18 16:11:36.726,0.992
2026-01-18 16:11:36.727,0.995
2026-01-18 16:11:36.742,0.988
2026-01-18 16:11:36.760,0.991
2026-01-18 16:11:36.775,0.989
2026-01-18 16:11:36.776,0.989
2026-01-18 16:11:36.792,0.995
2026-01-18 16:11:36.810,0.998
2026-01-18 16:11:36.810,0.993
2026-01-18 16:11:36.826,1.001
2026-01-18 16:11:36.842,1.0
2026-01-18 16:11:36.859,1.004
2026-01-18 16:11:36.859,1.004
2026-01-18 16:11:36.876,1.002
2026-01-18 16:11:36.893,1.004
2026-01-18 16:11:36.894,0.994
2026-01-18 16:11:36.909,0.987
2026-01-18 16:11:36.925,0.977
2026-01-18 16:11:36.944,0.973
2026-01-18 16:11:36.944,0.971
2026-01-18 16:11:36.959,0.97
2026-01-18 16:11:36.976,0.971
2026-01-18 16:11:36.977,0.977
2026-01-18 16:11:36.993,0.972
2026-01-18 16:11:37.016,0.977
2026-01-18 16:11:37.018,0.974
2026-01-18 16:11:37.025,0.974
2026-01-18 16:11:37.041,0.976
2026-01-18 16:11:37.059,0.97
2026-01-18 16:11:37.075,0.965
2026-01-18 16:11:37.076,0.96
2026-01-18 16:11:37.092,0.957
2026-01-18 16:11:37.108,0.955
2026-01-18 16:11:37.108,0.955
2026-01-18 16:11:37.126,0.947
2026-01-18 16:11:37.141,0.941
2026-01-18 16:11:37.160,0.939
2026-01-18 16:11:37.160,0.944
2026-01-18 16:11:37.175,0.948
2026-01-18 16:11:37.193,0.953
2026-01-18 16:11:37.193,0.953
2026-01-18 16:11:37.209,0.95
2026-01-18 16:11:37.224,0.954
2026-01-18 16:11:37.243,0.953
2026-01-18 16:11:37.243,0.964
2026-01-18 16:11:37.258,0.967
2026-01-18 16:11:37.277,0.971
2026-01-18 16:11:37.278,0.972
2026-01-18 16:11:37.292,0.97
2026-01-18 16:11:37.310,0.967
2026-01-18 16:11:37.326,0.965
2026-01-18 16:11:37.326,0.967
2026-01-18 16:11:37.343,0.973
2026-01-18 16:11:37.359,0.979
2026-01-18 16:11:37.377,0.975
2026-01-18 16:11:37.377,0.97
2026-01-18 16:11:37.392,0.972
2026-01-18 16:11:37.409,0.973
2026-01-18 16:11:37.409,0.977
2026-01-18 16:11:37.425,0.98
2026-01-18 16:11:37.442,0.978
2026-01-18 16:11:37.459,0.976
2026-01-18 16:11:37.459,0.976
2026-01-18 16:11:37.477,0.98
2026-01-18 16:11:37.492,0.976
2026-01-18 16:11:37.493,0.971
2026-01-18 16:11:37.508,0.976
2026-01-18 16:11:37.525,0.976
2026-01-18 16:11:37.552,0.975
2026-01-18 16:11:37.552,0.975
2026-01-18 16:11:37.560,0.968
2026-01-18 16:11:37.575,0.97
2026-01-18 16:11:37.592,0.976
2026-01-18 16:11:37.592,0.986
2026-01-18 16:11:37.608,0.997
2026-01-18 16:11:37.624,1.004
2026-01-18 16:11:37.625,1.007
2026-01-18 16:11:37.643,1.006
2026-01-18 16:11:37.659,1.002
2026-01-18 16:11:37.676,1.004
2026-01-18 16:11:37.676,1.006
2026-01-18 16:11:37.692,1.007
2026-01-18 16:11:37.709,1.011
2026-01-18 16:11:37.710,1.009
2026-01-18 16:11:37.725,1.011
2026-01-18 16:11:37.743,1.012
2026-01-18 16:11:37.759,1.01
2026-01-18 16:11:37.759,1.006
2026-01-18 16:11:37.776,1.003
2026-01-18 16:11:37.792,1.003
2026-01-18 16:11:37.793,0.995
2026-01-18 16:11:37.810,0.986
2026-01-18 16:11:37.825,0.977
2026-01-18 16:11:37.843,0.977
2026-01-18 16:11:37.843,0.971
2026-01-18 16:11:37.859,0.966
2026-01-18 16:11:37.876,0.958
2026-01-18 16:11:37.877,0.96
2026-01-18 16:11:37.892,0.964
2026-01-18 16:11:37.908,0.964
2026-01-18 16:11:37.925,0.965
2026-01-18 16:11:37.925,0.966
2026-01-18 16:11:37.942,0.972
2026-01-18 16:11:37.959,0.973
2026-01-18 16:11:37.975,0.979
2026-01-18 16:11:37.975,0.981
2026-01-18 16:11:37.992,0.985
2026-01-18 16:11:38.016,0.988
2026-01-18 16:11:38.016,0.992
2026-01-18 16:11:38.025,0.993
2026-01-18 16:11:38.042,0.997
2026-01-18 16:11:38.059,0.996
2026-01-18 16:11:38.059,0.999
2026-01-18 16:11:38.075,0.999
2026-01-18 16:11:38.093,1.0
2026-01-18 16:11:38.093,1.003
2026-01-18 16:11:38.112,1.005
2026-01-18 16:11:38.126,1.002
2026-01-18 16:11:38.141,1.001
2026-01-18 16:11:38.141,1.0
2026-01-18 16:11:38.159,1.0
2026-01-18 16:11:38.175,1.007
2026-01-18 16:11:38.193,1.007
2026-01-18 16:11:38.193,1.007
2026-01-18 16:11:38.210,1.011
2026-01-18 16:11:38.226,1.006
2026-01-18 16:11:38.226,1.007
2026-01-18 16:11:38.243,1.007
2026-01-18 16:11:38.258,1.004
2026-01-18 16:11:38.276,1.004
2026-01-18 16:11:38.277,1.002
2026-01-18 16:11:38.291,1.0
2026-01-18 16:11:38.310,1.0
2026-01-18 16:11:38.310,0.991
2026-01-18 16:11:38.326,0.99
2026-01-18 16:11:38.343,0.987
2026-01-18 16:11:38.359,0.994
2026-01-18 16:11:38.359,0.991
2026-01-18 16:11:38.376,0.99
2026-01-18 16:11:38.393,0.987
2026-01-18 16:11:38.393,0.989
2026-01-18 16:11:38.409,0.992
2026-01-18 16:11:38.426,0.998
2026-01-18 16:11:38.443,0.999
2026-01-18 16:11:38.443,1.001
