Timestamp,Distance(m)
2026-01-13 17:18:19.875,9.971
2026-01-13 17:18:19.875,9.969
2026-01-13 17:18:19.892,9.97
2026-01-13 17:18:19.907,9.967
2026-01-13 17:18:19.907,9.958
2026-01-13 17:18:19.925,9.949
2026-01-13 17:18:19.942,9.932
2026-01-13 17:18:19.958,9.924
2026-01-13 17:18:19.958,9.914
2026-01-13 17:18:19.976,9.916
2026-01-13 17:18:19.993,9.915
2026-01-13 17:18:19.993,9.91
2026-01-13 17:18:20.008,9.91
2026-01-13 17:18:20.025,9.908
2026-01-13 17:18:20.042,9.906
2026-01-13 17:18:20.042,9.899
2026-01-13 17:18:20.059,9.888
2026-01-13 17:18:20.075,9.883
2026-01-13 17:18:20.093,9.876
2026-01-13 17:18:20.093,9.881
2026-01-13 17:18:20.108,9.884
2026-01-13 17:18:20.124,9.894
2026-01-13 17:18:20.125,9.905
2026-01-13 17:18:20.142,9.915
2026-01-13 17:18:20.157,9.922
2026-01-13 17:18:20.176,9.93
2026-01-13 17:18:20.176,9.935
2026-01-13 17:18:20.192,9.944
2026-01-13 17:18:20.208,9.944
2026-01-13 17:18:20.208,9.947
2026-01-13 17:18:20.225,9.952
2026-01-13 17:18:20.258,9.956
2026-01-13 17:18:20.259,9.955
2026-01-13 17:18:20.276,9.951
2026-01-13 17:18:20.292,9.946
2026-01-13 17:18:20.294,9.953
2026-01-13 17:18:20.307,9.953
2026-01-13 17:18:20.325,9.958
2026-01-13 17:18:20.343,9.954
2026-01-13 17:18:20.343,9.951
2026-01-13 17:18:20.357,9.943
2026-01-13 17:18:20.376,9.94
2026-01-13 17:18:20.376,9.945
2026-01-13 17:18:20.393,9.943
2026-01-13 17:18:20.408,9.935
2026-01-13 17:18:20.425,9.933
2026-01-13 17:18:20.425,9.929
2026-01-13 17:18:20.441,9.928
2026-01-13 17:18:20.459,9.921
2026-01-13 17:18:20.475,9.925
2026-01-13 17:18:20.475,9.926
2026-01-13 17:18:20.492,9.922
2026-01-13 17:18:20.508,9.925
2026-01-13 17:18:20.508,9.922
2026-01-13 17:18:20.524,9.923
